Name,Quant mass,cF17,cF3,cF29,cF36,cF41,cF12,cF24,cF38,cF19,cF31,cF14,cF27,cF4,cF22,cF40,cF9,cF33,cF16,cF2,cF26,cF11,cF20,cF5,cF30,cF15,cF39,cF25,cF34,cF18,cF10,cF28,cF21
Cyclobutanemethanol,57.05746,1766641628,276413689,398752418.3,0,373519.41,79332558,915841388,983118.34,2.65E+09,58614.077,660777495,213909368,407282616,9404446.2,518191.15,3.60E+09,1.04E+09,2681513.9,108479626,2.03E+09,347273950,5250979.6,12858834,3165485.3,235306932,30281313,1.84E+09,41396126,39644673,277279765,1.15E+09,4.38E+09
Cyclohexanol,57.072187,711409713.9,47905474.8,1183428757,204226006,1435283.6,11043543,12091875,2710250.9,683042772,1348981.4,327082763,342740273,6.22E+09,972733073,151105327,358336915,761989226,4387130.4,122207633,3.43E+09,148286059,5111857.6,1766458.2,13276522,941826044,392924976,658594822,12038669,1229336.5,1.37E+09,1.40E+09,4.66E+09
"Cyclohexasiloxane, dodecamethyl-",341.02604,5611597374,147316.636,11466774.96,12236620.74,38545.834,8700.9719,1012003.7,11407.467,5917478.9,75204.561,1640752.2,5377174.7,2.33E+10,2.92E+09,682629493,44707185,3.04E+09,15150215,25017081,2.58E+09,7.81E+09,53599490,2965476.8,4534296.4,3.57E+09,1.18E+09,2.21E+09,49744836,54733951,20248496,2.58E+09,5.41E+09
"Cyclononasiloxane, octadecamethyl-",429.14646,0,2289658.3,251626.4808,499319.4757,1130.9062,91454.043,0,10670.661,1689947.2,757.29391,90645.215,523515.24,6004746.5,277638.63,273208.98,2473213.8,289654.36,1149019.6,141367516,1291284.1,167772.95,6289601.1,4105542,28374366,222025971,66820687,1811539.7,1935543.4,47408.016,55443.38,0,237114536
"Cyclooctasiloxane, hexadecamethyl-",355.11271,6358010.191,1116170.3,37833284.14,10438593.99,4610.8152,283119.16,2894447.2,88657.498,13937050,11849.844,12446380,2852746.2,27313806,1318341.3,45412.212,3907710.1,303099734,4412699.1,111612970,11250895,20195227,19915440,757280.89,96846728,761731844,232186937,10532900,7016092.9,110678.2,16007921,447129458,746238042
Cyclopentanol,57.062995,1000404704,304199058,1087736824,585219709,2937369.4,44470467,990516458,3850863.7,509545781,1575572.3,305280118,172970365,4.90E+10,1.16E+09,612935258,198610497,2.45E+09,5608607.7,43101796,2.96E+09,1.02E+09,4737827,6303644,8761190.5,8.73E+09,70927444,317208391,39422922,10165008,4.84E+09,200365758,953505596
"Cyclopentanone, 2-methyl-",55.055072,25658820641,2844008233,63529145294,13421169017,38373725,476239533,3.88E+09,113059386,1.69E+10,43995307,5.83E+09,3.73E+09,8.18E+10,1.31E+10,2.54E+09,1.16E+10,3.49E+10,11467805,31708572,1.69E+10,580353256,2334607.9,120057022,11152265,1.10E+10,3.43E+09,2.49E+10,457249999,5183604.3,3.76E+10,7.60E+09,2.21E+10
D-Limonene,68.089199,389093667,254959394,2958566587,654001712.7,1837842.2,1857628.6,218789559,1327513.5,266327072,1640582.5,277627575,437106534,2.70E+09,232922918,91283819,654560.71,49396959,294190.45,13202769,253380897,14197122,1097191.3,9483455.4,9875068.3,635482107,200146359,220695636,7072.9567,90826.424,732964148,18234397,292822829
Diethyl carbonate,91.037425,313214057.3,490406713,1300460250,2498480978,3632478.7,5657420.6,37471217,1681263.2,168725625,1726676.6,61332382,613618652,853551081,167957988,48894301,6.68E+09,13786551,751401.57,4524556,9120494.1,6780374.8,374497083,286814437,632920387,42666522,21192573,46085664,199008.01,624082509,43541343,8494268.2,73119722
Difluorophosphoric acid,84.869111,9.48E+12,6.86E+12,1.59E+13,2.66E+13,4.65E+10,1.49E+11,4.95E+11,1.52E+10,2.56E+12,1.48E+10,2.26E+12,8.11E+12,3.95E+13,4.30E+12,9.23E+11,3.46E+11,1.21E+09,65147927,1.42E+09,1.69E+09,0,4039937.2,109100426,15451.461,4.89E+09,1.30E+09,1.48E+09,50525128,4.79E+09,3.28E+12,153607622,5.67E+09
